Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23
Biobio,08,Lebu,08201,27100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Biobio,08,Los Alamos,08206,22524,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Biobio,08,Los Angeles,08301,218515,0,0,0,0,4,7,9,6,5,4,0,3,32,62,86,60,17
Biobio,08,Lota,08106,45750,0,0,0,0,0,1,0,0,0,0,0,1,16,9,14,17,3
Biobio,08,Mulchen,08305,31041,0,0,0,0,0,1,4,0,0,0,0,2,3,1,1,9,1
Biobio,08,Nacimiento,08306,27944,0,0,0,0,0,2,3,3,2,0,1,3,8,4,7,4,1
Biobio,08,Negrete,08307,10429,0,0,0,0,0,0,0,2,0,0,0,0,7,12,10,8,0
Biobio,08,Penco,08107,49865,0,0,0,0,0,1,3,3,3,8,0,2,1,2,8,10,4
Biobio,08,Quilaco,08308,4179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Biobio,08,Quilleco,08309,10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Biobio,08,San Pedro de la Paz,08108,145906,0,0,0,0,6,34,17,24,8,11,3,2,13,11,36,48,3
Biobio,08,San Rosendo,08310,3611,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Biobio,08,Santa Barbara,08311,14592,0,0,0,0,0,0,2,0,0,0,0,0,4,9,7,18,0
Biobio,08,Santa Juana,08109,14779,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0
Biobio,08,Talcahuano,08110,158345,0,0,0,0,1,16,16,17,14,14,20,17,19,18,38,49,5
Biobio,08,Tirua,08207,11019,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0
Biobio,08,Tome,08111,58729,0,0,0,0,0,9,11,12,7,9,1,4,17,4,8,11,3
Biobio,08,Tucapel,08312,15205,0,0,0,0,0,0,0,1,0,0,0,0,0,4,6,10,3
Biobio,08,Yumbel,08313,22132,0,0,0,0,0,0,5,0,1,1,1,2,4,3,4,11,0
Biobio,08,Total,,1663696,0,0,1,2,29,140,157,149,99,100,65,82,208,239,464,576,63
,,,,,,,,,,,,,,,,,,,,,
La Araucania,09,Angol,09201,56058,0,0,0,1,1,3,10,11,15,35,27,11,10,7,22,14,5
La Araucania,09,Carahue,09102,25486,0,0,0,0,0,0,3,10,9,8,5,1,0,2,14,8,3
La Araucania,09,Cholchol,09121,12341,0,0,0,0,0,1,2,0,0,1,0,0,1,0,1,9,1
La Araucania,09,Collipulli,09202,26148,0,0,0,0,0,0,0,1,1,1,3,0,2,9,8,5,0
La Araucania,09,Cunco,09103,18055,0,0,0,0,0,0,3,2,0,1,0,0,1,5,18,0,1
La Araucania,09,Curacautin,09203,18178,0,0,0,0,0,2,0,2,0,0,2,0,1,0,0,1,0
La Araucania,09,Curarrehue,09104,7802,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
La Araucania,09,Ercilla,09204,8458,0,0,0,0,0,0,0,4,1,4,1,1,0,0,4,1,0
La Araucania,09,Freire,09105,25446,0,0,0,0,0,2,4,0,0,2,0,0,11,11,28,14,1
La Araucania,09,Galvarino,09106,12633,0,0,0,0,0,0,1,1,0,0,0,1,0,0,6,33,5
La Araucania,09,Gorbea,09107,15148,0,0,0,0,1,4,4,1,0,1,0,1,3,0,4,1,0
La Araucania,09,Lautaro,09108,40746,0,0,1,0,0,6,3,15,5,6,2,8,9,3,13,17,1
La Araucania,09,Loncoche,09109,24739,0,0,0,0,0,2,3,2,4,3,3,1,2,2,6,17,1
La Araucania,09,Lonquimay,09205,11049,0,0,0,0,0,0,0,0,0,0,2,13,12,25,9,1,0
La Araucania,09,Los Sauces,09206,7517,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
La Araucania,09,Lumaco,09207,10050,0,0,0,0,0,0,0,0,0,4,2,1,0,1,3,2,1
La Araucania,09,Melipeuco,09110,6265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1
La Araucania,09,Nueva Imperial,09111,33777,0,0,0,0,0,4,10,4,12,7,3,2,6,5,2,0,1
La Araucania,09,Padre Las Casas,09112,82110,0,0,0,0,0,12,28,24,16,15,11,0,5,24,16,11,1
La Araucania,09,Perquenco,09113,7223,0,0,0,0,0,1,1,0,0,3,0,0,1,0,0,1,4
La Araucania,09,Pitrufquen,09114,26096,0,0,0,0,0,4,9,4,0,1,0,0,0,6,15,17,2
La Araucania,09,Pucon,09115,29782,0,0,0,0,1,3,0,4,3,1,3,0,2,2,12,16,3
La Araucania,09,Puren,09208,12188,0,0,0,0,0,0,2,0,0,2,0,2,1,0,1,1,0
La Araucania,09,Renaico,09209,10833,0,0,0,0,0,0,0,1,3,2,1,4,3,5,4,2,0
La Araucania,09,Saavedra,09116,12793,0,0,0,0,1,1,0,1,5,8,17,13,18,10,9,4,0
La Araucania,09,Temuco,09101,302931,0,0,0,4,26,155,173,128,110,57,25,27,49,44,27,13,0
La Araucania,09,Teodoro Schmidt,09117,15786,0,0,0,0,0,1,2,0,1,1,0,0,0,1,3,1,0
La Araucania,09,Tolten,09118,10055,0,0,0,0,0,4,2,2,0,0,0,0,0,2,5,1,0
La Araucania,09,Traiguen,09210,19314,0,0,0,0,0,0,0,1,0,1,0,0,1,4,4,2,2
La Araucania,09,Victoria,09211,35467,0,0,0,0,1,2,9,2,2,30,20,11,2,4,14,9,7
La Araucania,09,Vilcun,09119,30766,0,0,0,0,0,6,11,15,8,3,5,4,5,7,21,7,0
La Araucania,09,Villarrica,09120,59103,0,0,0,0,0,2,10,6,1,0,1,0,1,2,4,6,0
La Araucania,09,Total,,1014343,0,0,1,5,32,216,292,241,196,198,133,101,146,181,278,219,40
,,,,,,,,,,,,,,,,,,,,,
Los Rios,14,Corral,14102,5447,0,0,0,0,0,0,0,0,0,1,0,0,6,4,2,0,0
Los Rios,14,Futrono,14202,15261,0,0,0,0,0,1,3,1,0,0,0,0,1,5,19,8,2
Los Rios,14,La Union,14201,39538,0,0,0,0,1,5,8,4,6,9,4,2,1,2,1,4,1
Los Rios,14,Lago Ranco,14203,10292,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Los Rios,14,Lanco,14103,17652,0,0,0,0,0,0,1,2,1,2,0,3,0,0,0,0,0
Los Rios,14,Los Lagos,14104,20518,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,10,0
Los Rios,14,Mafil,14105,7389,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Los Rios,14,Mariquina,14106,23250,0,0,0,0,0,3,1,4,1,0,0,0,2,1,3,1,0
Los Rios,14,Paillaco,14107,20798,0,0,0,0,0,1,0,0,0,0,0,0,0,8,13,3,0
Los Rios,14,Panguipulli,14108,35991,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,8,4
Los Rios,14,Rio Bueno,14204,32925,0,0,0,0,0,3,1,2,2,1,2,1,0,0,3,1,0
Los Rios,14,Valdivia,14101,176774,0,0,0,1,1,25,33,25,18,8,8,4,2,8,29,18,2
Los Rios,14,Total,,405835,0,0,0,1,2,40,48,38,28,22,14,11,12,34,86,53,9
,,,,,,,,,,,,,,,,,,,,,
Los Lagos,10,Ancud,10202,42458,0,0,0,0,0,0,1,0,6,3,1,21,19,23,10,0,1
Los Lagos,10,Calbuco,10102,36744,0,0,0,0,0,3,1,1,1,1,0,0,1,0,0,0,0
Los Lagos,10,Castro,10201,47607,0,0,0,0,0,2,0,5,0,0,0,0,1,0,0,0,0
Los Lagos,10,Chaiten,10401,5020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Chonchi,10203,16013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Cochamo,10103,4006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Los Lagos,10,Curaco de Velez,10204,4066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Dalcahue,10205,15069,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0
Los Lagos,10,Fresia,10104,12656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Frutillar,10105,20223,0,0,0,0,0,0,1,3,2,0,0,0,1,0,3,2,0
Los Lagos,10,Futaleufu,10402,2806,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Los Lagos,10,Hualaihue,10403,9525,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
Los Lagos,10,Llanquihue,10107,18621,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0
Los Lagos,10,Los Muermos,10106,17817,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Los Lagos,10,Maullin,10108,14894,0,0,0,0,0,0,0,0,1,0,0,0,0,5,9,0,0
Los Lagos,10,Osorno,10301,173410,0,0,0,0,3,58,104,65,36,18,15,19,14,9,18,29,3
Los Lagos,10,Palena,10404,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Puerto Montt,10101,269398,0,0,0,1,1,13,18,11,3,5,0,1,6,17,53,43,21
Los Lagos,10,Puerto Octay,10302,9192,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0
Los Lagos,10,Puerto Varas,10109,48620,0,0,0,0,1,0,2,3,2,0,0,0,0,4,7,8,3
Los Lagos,10,Puqueldon,10206,4201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Purranque,10303,21080,0,0,0,0,0,0,3,12,5,1,2,3,1,5,13,20,1
Los Lagos,10,Puyehue,10304,11787,0,0,0,0,0,1,1,1,1,1,1,2,0,1,1,1,0
Los Lagos,10,Queilen,10207,5543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Quellon,10208,29309,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Los Lagos,10,Quemchi,10209,8783,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,0
Los Lagos,10,Quinchao,10210,8298,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Rio Negro,10305,14275,0,0,0,0,0,0,2,3,0,4,6,1,4,5,4,2,0
Los Lagos,10,San Juan de la Costa,10306,7639,0,0,0,0,0,0,1,9,2,6,7,2,5,2,0,0,0
Los Lagos,10,San Pablo,10307,10553,0,0,0,0,0,0,2,4,0,3,0,0,0,2,1,0,0
Los Lagos,10,Total,,891440,0,0,0,1,5,79,142,117,60,43,33,50,61,79,126,113,29
,,,,,,,,,,,,,,,,,,,,,
Aysen,11,Aysen,11201,25002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0
Aysen,11,Chile Chico,11401,5121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aysen,11,Cisnes,11202,5828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Cochrane,11301,3685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Coyhaique,,61210,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4,3,0
Aysen,11,Guaitecas,11203,1599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Lago Verde,11102,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,OHiggins,,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Rio Ibanez,11402,2699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Tortel,11303,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Total,,107297,0,0,0,0,2,0,0,2,0,0,0,0,1,0,5,5,0
,,,,,,,,,,,,,,,,,,,,,
Magallanes y la Antartica,12,Antartica,12202,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,Cabo de Hornos,12201,1983,0,0,0,0,2,6,4,1,6,0,0,0,1,0,1,0,0
Magallanes y la Antartica,12,Laguna Blanca,12102,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,Natales,12401,23782,0,0,0,0,1,3,2,0,1,1,0,2,0,2,1,0,0
Magallanes y la Antartica,12,Porvenir,12301,7323,0,0,0,0,0,0,3,1,2,2,0,0,1,0,0,0,0
Magallanes y la Antartica,12,Primavera,12302,694,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,Punta Arenas,12101,141984,0,0,0,1,6,63,123,146,154,132,85,107,81,51,49,21,5
Magallanes y la Antartica,12,Rio Verde,12103,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,San Gregorio,12104,681,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Magallanes y la Antartica,12,Timaukel,12303,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,Torres del Paine,12402,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,,Total,,178362,0,0,0,1,9,72,132,148,164,135,85,109,85,53,51,21,5
