Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-20,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28,Tasa
Valparaiso,05,El Quisco,05604,17742.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,8.0,11.0,11.0,11.0,12.0,16.0,18.0,23.0,26.0,30.0,33.0,44.0,51.0,66.0,69.0,82.0,82.0,87.0,97.0,108.0,113.0,120.0,139.0,140.0,146.0,151.0,160.0,167.0,172.0,177.0,180.0,184.0,188.0,193.0,211.0,216.0,213,1200.5
Valparaiso,05,El Tabo,05605,14338.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,6.0,9.0,9.0,13.0,13.0,14.0,16.0,23.0,24.0,29.0,31.0,37.0,41.0,61.0,70.0,72.0,72.0,95.0,114.0,128.0,150.0,174.0,182.0,189.0,193.0,176.0,202.0,207.0,220.0,225.0,247.0,250.0,253.0,257.0,258.0,258.0,260,1813.4
Valparaiso,05,Hijuelas,05503,19099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,6.0,13.0,18.0,29.0,33.0,38.0,45.0,57.0,75.0,84.0,96.0,107.0,119.0,132.0,148.0,152.0,170.0,177.0,189.0,203.0,216.0,244.0,254.0,265.0,277.0,283.0,290,1518.4
Valparaiso,05,Isla de Pascua,05201,8277.0,0.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,60.4
Valparaiso,05,Juan Fernandez,05104,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Valparaiso,05,La Cruz,05504,25321.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,7.0,8.0,8.0,9.0,10.0,14.0,17.0,19.0,22.0,24.0,24.0,26.0,28.0,33.0,36.0,49.0,57.0,69.0,75.0,87.0,97.0,112.0,123.0,131.0,142.0,146.0,166.0,183.0,197.0,209.0,230.0,247.0,255.0,265.0,279.0,284.0,297,1172.9
Valparaiso,05,La Ligua,05401,37739.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,8.0,9.0,15.0,15.0,28.0,46.0,50.0,68.0,125.0,158.0,187.0,199.0,221.0,255.0,277.0,292.0,282.0,333.0,348.0,357.0,379.0,455.0,493.0,543.0,568.0,613.0,638.0,673,1783.3
Valparaiso,05,Limache,05802,49931.0,0.0,0.0,0.0,4.0,5.0,7.0,8.0,13.0,20.0,20.0,23.0,23.0,23.0,22.0,25.0,28.0,47.0,54.0,68.0,79.0,85.0,94.0,125.0,146.0,179.0,205.0,327.0,385.0,453.0,489.0,550.0,611.0,641.0,671.0,610.0,709.0,731.0,740.0,767.0,825.0,879.0,931.0,946.0,977.0,1011.0,1044,2090.9
Valparaiso,05,Llaillay,05703,26533.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,11.0,14.0,33.0,37.0,53.0,54.0,67.0,85.0,98.0,114.0,134.0,163.0,186.0,201.0,215.0,232.0,266.0,286.0,288.0,298.0,316.0,330.0,336.0,354.0,370.0,383.0,388.0,397.0,404.0,426,1605.5
Valparaiso,05,Los Andes,05301,68093.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,7.0,9.0,9.0,6.0,7.0,9.0,9.0,15.0,25.0,28.0,35.0,72.0,92.0,128.0,146.0,194.0,273.0,323.0,370.0,483.0,595.0,663.0,709.0,764.0,819.0,853.0,890.0,917.0,949.0,967.0,984.0,1002.0,1034.0,1053.0,1070.0,1074.0,1082.0,1089.0,1102,1618.4
Valparaiso,05,Nogales,05506,23490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,9.0,12.0,14.0,16.0,21.0,25.0,28.0,34.0,50.0,57.0,68.0,77.0,85.0,100.0,108.0,121.0,125.0,150.0,169.0,188.0,201.0,231.0,247.0,265.0,285.0,303.0,321.0,359,1528.3
Valparaiso,05,Olmue,05803,19266.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,6.0,8.0,15.0,17.0,24.0,25.0,28.0,36.0,53.0,63.0,71.0,78.0,87.0,100.0,114.0,119.0,116.0,135.0,145.0,149.0,159.0,172.0,201.0,209.0,227.0,241.0,264.0,278,1443.0
Valparaiso,05,Panquehue,05704,7633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,8.0,8.0,14.0,17.0,20.0,22.0,42.0,49.0,57.0,59.0,60.0,65.0,74.0,85.0,88.0,106.0,114.0,116.0,117.0,117.0,119.0,119.0,120.0,116.0,118.0,119,1559.0
Valparaiso,05,Papudo,05403,6201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,7.0,14.0,16.0,17.0,22.0,50.0,58.0,62.0,65.0,69.0,75.0,77.0,75.0,71.0,78.0,81.0,82.0,87.0,97.0,104.0,106.0,107.0,112.0,114.0,118,1902.9
Valparaiso,05,Petorca,05404,10558.0,0.0,0.0,0.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,10.0,11.0,14.0,15.0,21.0,21.0,23.0,25.0,28.0,37.0,48.0,55.0,59.0,72.0,73.0,75.0,67.0,80.0,87.0,86.0,94.0,115.0,116.0,118.0,125.0,131.0,139.0,146,1382.8
Valparaiso,05,Puchuncavi,05105,20071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,7.0,15.0,18.0,24.0,35.0,49.0,74.0,82.0,102.0,108.0,126.0,138.0,144.0,153.0,144.0,154.0,159.0,164.0,169.0,177.0,179.0,185.0,191.0,196.0,197.0,198,986.5
Valparaiso,05,Putaendo,05705,17645.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,5.0,5.0,6.0,6.0,7.0,12.0,12.0,15.0,21.0,22.0,24.0,26.0,34.0,49.0,63.0,72.0,93.0,120.0,141.0,151.0,171.0,182.0,189.0,194.0,193.0,203.0,215.0,217.0,223.0,229.0,240.0,244.0,244.0,248.0,252.0,251,1422.5
Valparaiso,05,Quillota,05501,97572.0,6.0,7.0,9.0,9.0,13.0,13.0,16.0,18.0,19.0,20.0,22.0,22.0,24.0,26.0,28.0,31.0,39.0,48.0,56.0,59.0,66.0,80.0,107.0,138.0,214.0,280.0,537.0,643.0,837.0,894.0,1049.0,1221.0,1291.0,1335.0,1209.0,1401.0,1434.0,1485.0,1525.0,1679.0,1746.0,1831.0,1884.0,1959.0,2009.0,2076,2127.7
Valparaiso,05,Quilpue,05801,167085.0,11.0,10.0,11.0,12.0,15.0,18.0,20.0,21.0,22.0,27.0,30.0,30.0,38.0,40.0,50.0,55.0,88.0,104.0,124.0,155.0,188.0,226.0,285.0,321.0,368.0,410.0,636.0,739.0,927.0,992.0,1139.0,1266.0,1346.0,1408.0,1278.0,1437.0,1472.0,1515.0,1550.0,1678.0,1752.0,1857.0,1915.0,1976.0,2023.0,2057,1231.1
Valparaiso,05,Quintero,05107,36135.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,4.0,4.0,6.0,9.0,10.0,10.0,14.0,16.0,23.0,29.0,33.0,41.0,56.0,79.0,97.0,122.0,148.0,168.0,212.0,230.0,271.0,282.0,307.0,323.0,333.0,352.0,344.0,369.0,379.0,387.0,392.0,425.0,433.0,449.0,458.0,465.0,466.0,477,1320.0
Valparaiso,05,Rinconada,05303,11263.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,10.0,18.0,26.0,34.0,48.0,53.0,67.0,76.0,90.0,105.0,122.0,128.0,137.0,146.0,151.0,159.0,157.0,161.0,167.0,171.0,170.0,173.0,173.0,173.0,173.0,175.0,174.0,175,1553.8
Valparaiso,05,San Antonio,05601,96761.0,0.0,4.0,8.0,9.0,9.0,13.0,17.0,19.0,28.0,34.0,46.0,53.0,72.0,86.0,125.0,147.0,191.0,225.0,280.0,286.0,359.0,389.0,472.0,538.0,616.0,633.0,749.0,860.0,935.0,983.0,1027.0,1088.0,1112.0,1143.0,1168.0,1208.0,1238.0,1269.0,1303.0,1327.0,1345.0,1390.0,1434.0,1466.0,1496.0,1525,1576.0
Valparaiso,05,San Esteban,05304,20643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,5.0,8.0,9.0,11.0,14.0,17.0,18.0,20.0,29.0,43.0,53.0,61.0,89.0,110.0,125.0,137.0,152.0,170.0,187.0,194.0,197.0,207.0,212.0,215.0,223.0,229.0,233.0,233.0,242.0,242.0,249.0,252,1220.8
Valparaiso,05,San Felipe,05701,83494.0,0.0,0.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,9.0,12.0,17.0,30.0,37.0,72.0,87.0,112.0,129.0,187.0,267.0,356.0,403.0,609.0,694.0,789.0,842.0,912.0,978.0,1016.0,1014.0,1012.0,1058.0,1074.0,1080.0,1113.0,1176.0,1224.0,1271.0,1294.0,1319.0,1326.0,1337,1601.3
Valparaiso,05,Santa Maria,05706,16367.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,13.0,16.0,19.0,20.0,20.0,20.0,26.0,26.0,30.0,30.0,33.0,46.0,59.0,62.0,98.0,119.0,136.0,145.0,161.0,179.0,192.0,196.0,205.0,214.0,220.0,230.0,240.0,250.0,251.0,255.0,262.0,268.0,272.0,287,1753.5
Valparaiso,05,Santo Domingo,05606,11934.0,,0.0,0.0,0.0,5.0,5.0,5.0,10.0,11.0,12.0,17.0,17.0,19.0,22.0,21.0,25.0,29.0,33.0,35.0,35.0,38.0,41.0,50.0,57.0,78.0,78.0,98.0,112.0,118.0,119.0,132.0,133.0,137.0,140.0,138.0,144.0,145.0,145.0,146.0,146.0,147.0,147.0,150.0,158.0,159.0,164,1374.2
Valparaiso,05,Valparaiso,05101,315732.0,16.0,26.0,23.0,26.0,36.0,39.0,44.0,45.0,51.0,59.0,67.0,68.0,95.0,109.0,169.0,190.0,255.0,300.0,354.0,412.0,482.0,593.0,765.0,922.0,1114.0,1322.0,1978.0,2270.0,2643.0,2766.0,3038.0,3257.0,3424.0,3506.0,3310.0,3693.0,3789.0,3962.0,4074.0,4424.0,4603.0,4849.0,4967.0,5137.0,5307.0,5519,1748.0
Valparaiso,05,Villa Alemana,05804,139310.0,6.0,8.0,11.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,14.0,15.0,17.0,19.0,36.0,45.0,64.0,77.0,109.0,122.0,147.0,172.0,233.0,288.0,326.0,370.0,631.0,783.0,910.0,954.0,1098.0,1210.0,1282.0,1308.0,1206.0,1395.0,1416.0,1451.0,1490.0,1613.0,1665.0,1780.0,1834.0,1908.0,1955.0,2011,1443.5
Valparaiso,05,Vina del Mar,05109,361371.0,29.0,38.0,47.0,53.0,66.0,69.0,72.0,75.0,84.0,94.0,103.0,109.0,123.0,135.0,168.0,200.0,275.0,327.0,408.0,476.0,589.0,724.0,861.0,992.0,1168.0,1314.0,1753.0,1992.0,2424.0,2542.0,2816.0,3058.0,3212.0,3337.0,3179.0,3504.0,3571.0,3699.0,3805.0,4106.0,4250.0,4478.0,4658.0,4866.0,5007.0,5199,1438.7
Valparaiso,05,Zapallar,05405,7994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,16.0,25.0,33.0,38.0,47.0,57.0,61.0,57.0,68.0,71.0,75.0,75.0,79.0,87.0,94.0,96.0,99.0,101.0,103,1288.5
Valparaiso,05,Desconocido Valparaiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.0,291.0,291.0,342.0,356.0,382.0,401.0,398.0,413.0,408.0,429.0,421.0,433.0,400.0,398.0,382.0,389.0,393.0,400.0,410,
Valparaiso,05,Total,,1960170.0,81.0,111.0,142.0,162.0,199.0,220.0,273.0,299.0,345.0,390.0,455.0,481.0,588.0,646.0,853.0,998.0,1344.0,1586.0,2054.0,2336.0,2874.0,3392.0,4317.0,5215.0,6252.0,7107.0,10551.0,12118.0,14272.0,15184.0,16860.0,18452.0,19461.0,20189.0,19397.0,21367.0,21965.0,22671.0,23326.0,25046.0,26017.0,27299.0,28131.0,29093.0,29820.0,30800.0,54510.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,7.0,7.0,10.0,16.0,22.0,52.0,63.0,75.0,84.0,98.0,122.0,137.0,151.0,160.0,167.0,180.0,186.0,201.0,204.0,217.0,239.0,251.0,259.0,278.0,291,3929.8
Metropolitana,13,Buin,13402,109641.0,7.0,8.0,14.0,20.0,20.0,29.0,36.0,40.0,43.0,47.0,53.0,60.0,81.0,92.0,114.0,152.0,216.0,258.0,358.0,432.0,471.0,540.0,692.0,815.0,978.0,1044.0,1428.0,1556.0,1701.0,1776.0,1862.0,1998.0,2065.0,2148.0,2185.0,2233.0,2265.0,2296.0,2317.0,2365.0,2426.0,2483.0,2507.0,2545.0,2581.0,2620,2389.6
Metropolitana,13,Calera de Tango,13403,28525.0,6.0,7.0,7.0,7.0,8.0,8.0,10.0,10.0,11.0,14.0,15.0,15.0,17.0,17.0,21.0,23.0,29.0,32.0,50.0,66.0,83.0,93.0,109.0,146.0,186.0,200.0,293.0,342.0,406.0,428.0,463.0,490.0,503.0,530.0,538.0,553.0,560.0,563.0,567.0,575.0,581.0,586.0,589.0,596.0,601.0,616,2159.5
Metropolitana,13,Cerrillos,13102,88956.0,0.0,4.0,4.0,5.0,11.0,21.0,29.0,39.0,48.0,53.0,66.0,80.0,129.0,241.0,308.0,329.0,432.0,485.0,639.0,758.0,876.0,994.0,1123.0,1231.0,1410.0,1545.0,2036.0,2204.0,2384.0,2468.0,2573.0,2706.0,2772.0,2813.0,2850.0,2902.0,2942.0,2981.0,3022.0,3050.0,3072.0,3112.0,3120.0,3142.0,3156.0,3177,3571.4
Metropolitana,13,Cerro Navia,13103,142465.0,19.0,21.0,26.0,31.0,36.0,42.0,57.0,65.0,79.0,99.0,118.0,135.0,179.0,227.0,284.0,387.0,476.0,541.0,851.0,993.0,1230.0,1596.0,1892.0,2149.0,2576.0,3075.0,4313.0,4696.0,5152.0,5307.0,5581.0,5759.0,5861.0,5998.0,6063.0,6179.0,6233.0,6315.0,6383.0,6511.0,6601.0,6683.0,6725.0,6776.0,6820.0,6897,4841.2
Metropolitana,13,Colina,13301,180353.0,32.0,39.0,47.0,50.0,62.0,66.0,74.0,77.0,81.0,90.0,95.0,103.0,129.0,152.0,230.0,289.0,429.0,490.0,781.0,999.0,1259.0,1451.0,1742.0,1986.0,2267.0,2521.0,3335.0,3590.0,3837.0,3945.0,4096.0,4204.0,4287.0,4368.0,4397.0,4435.0,4472.0,4496.0,4518.0,4560.0,4605.0,4642.0,4656.0,4694.0,4722.0,4778,2649.2
Metropolitana,13,Conchali,13104,139195.0,14.0,18.0,22.0,32.0,38.0,47.0,52.0,56.0,64.0,80.0,98.0,113.0,187.0,295.0,406.0,470.0,626.0,708.0,1063.0,1370.0,1773.0,2010.0,2330.0,2542.0,2855.0,3244.0,4315.0,4682.0,5060.0,5189.0,5402.0,5587.0,5704.0,5808.0,5854.0,5908.0,5957.0,6012.0,6059.0,6133.0,6195.0,6248.0,6305.0,6344.0,6387.0,6454,4636.7
Metropolitana,13,Curacavi,13503,36430.0,5.0,5.0,5.0,8.0,9.0,10.0,13.0,14.0,14.0,14.0,15.0,15.0,19.0,23.0,25.0,35.0,65.0,83.0,116.0,149.0,203.0,272.0,335.0,402.0,444.0,477.0,584.0,615.0,676.0,698.0,739.0,774.0,807.0,816.0,833.0,839.0,847.0,854.0,865.0,883.0,894.0,909.0,926.0,938.0,945.0,964,2646.2
Metropolitana,13,El Bosque,13105,172000.0,18.0,28.0,35.0,37.0,46.0,64.0,83.0,93.0,107.0,127.0,145.0,177.0,236.0,275.0,377.0,439.0,612.0,728.0,1026.0,1164.0,1448.0,1654.0,2027.0,2418.0,2784.0,3176.0,4100.0,4464.0,4906.0,5095.0,5393.0,5700.0,5840.0,5981.0,6055.0,6169.0,6217.0,6303.0,6353.0,6411.0,6464.0,6502.0,6539.0,6570.0,6624.0,6699,3894.8
Metropolitana,13,El Monte,13602,40014.0,0.0,0.0,0.0,5.0,7.0,9.0,10.0,10.0,12.0,12.0,13.0,16.0,21.0,21.0,24.0,29.0,31.0,52.0,80.0,91.0,117.0,152.0,215.0,252.0,317.0,412.0,584.0,707.0,799.0,850.0,931.0,989.0,1040.0,1079.0,1093.0,1121.0,1134.0,1148.0,1174.0,1187.0,1214.0,1239.0,1244.0,1252.0,1255.0,1261,3151.4
Metropolitana,13,Estacion Central,13106,206792.0,16.0,22.0,25.0,36.0,41.0,61.0,71.0,89.0,101.0,120.0,162.0,207.0,341.0,447.0,578.0,679.0,954.0,1100.0,1466.0,1700.0,1986.0,2305.0,2617.0,2943.0,3333.0,3650.0,4547.0,4844.0,5180.0,5281.0,5495.0,5648.0,5761.0,5876.0,5922.0,5993.0,6041.0,6084.0,6136.0,6178.0,6215.0,6274.0,6298.0,6331.0,6371.0,6409,3099.2
Metropolitana,13,Huechuraba,13107,112528.0,17.0,19.0,22.0,32.0,35.0,38.0,48.0,53.0,59.0,66.0,77.0,82.0,113.0,150.0,220.0,263.0,375.0,413.0,669.0,840.0,1005.0,1285.0,1452.0,1580.0,1827.0,1983.0,2645.0,2871.0,3093.0,3185.0,3291.0,3387.0,3474.0,3527.0,3571.0,3616.0,3673.0,3723.0,3760.0,3810.0,3861.0,3906.0,3940.0,3966.0,3987.0,4022,3574.2
Metropolitana,13,Independencia,13108,142065.0,15.0,17.0,22.0,26.0,31.0,37.0,52.0,60.0,80.0,115.0,196.0,246.0,431.0,594.0,836.0,992.0,1199.0,1330.0,1699.0,1984.0,2566.0,2923.0,3359.0,3630.0,4056.0,4300.0,5015.0,5316.0,5563.0,5635.0,5782.0,5934.0,6044.0,6123.0,6179.0,6225.0,6265.0,6316.0,6384.0,6435.0,6491.0,6530.0,6567.0,6604.0,6641.0,6706,4720.4
Metropolitana,13,Isla de Maipo,13603,40171.0,0.0,0.0,0.0,4.0,7.0,10.0,10.0,11.0,11.0,11.0,11.0,13.0,14.0,15.0,17.0,20.0,23.0,27.0,41.0,46.0,65.0,88.0,108.0,133.0,174.0,225.0,362.0,440.0,517.0,545.0,598.0,651.0,682.0,742.0,753.0,863.0,915.0,986.0,992.0,1051.0,1083.0,1100.0,1112.0,1140.0,1157.0,1182,2942.4
Metropolitana,13,La Cisterna,13109,100434.0,10.0,12.0,12.0,20.0,26.0,34.0,39.0,45.0,47.0,61.0,73.0,84.0,122.0,143.0,205.0,251.0,348.0,427.0,646.0,719.0,845.0,1012.0,1185.0,1391.0,1671.0,1797.0,2236.0,2447.0,2615.0,2689.0,2785.0,2888.0,2932.0,2991.0,3012.0,3055.0,3100.0,3126.0,3146.0,3193.0,3222.0,3253.0,3276.0,3301.0,3328.0,3370,3355.4
Metropolitana,13,La Florida,13110,402433.0,43.0,58.0,67.0,91.0,103.0,126.0,165.0,176.0,211.0,231.0,282.0,328.0,428.0,578.0,824.0,1071.0,1538.0,1887.0,2514.0,3256.0,3927.0,4550.0,5237.0,6031.0,6879.0,7633.0,9515.0,10208.0,11143.0,11510.0,11966.0,12342.0,12589.0,12835.0,12936.0,13038.0,13156.0,13274.0,13357.0,13500.0,13626.0,13737.0,13824.0,13894.0,13980.0,14079,3498.5
Metropolitana,13,La Granja,13111,122557.0,5.0,8.0,16.0,24.0,26.0,36.0,46.0,51.0,60.0,69.0,80.0,95.0,138.0,193.0,276.0,348.0,635.0,800.0,1260.0,1769.0,2206.0,2622.0,2820.0,3294.0,3651.0,3968.0,5102.0,5434.0,5868.0,5978.0,6229.0,6433.0,6558.0,6670.0,6701.0,6798.0,6843.0,6876.0,6904.0,6953.0,7005.0,7057.0,7092.0,7110.0,7145.0,7177,5856.1
Metropolitana,13,La Pintana,13112,189335.0,0.0,10.0,13.0,18.0,25.0,39.0,55.0,70.0,88.0,107.0,128.0,195.0,269.0,345.0,483.0,561.0,840.0,1067.0,1432.0,1804.0,2379.0,2861.0,3339.0,3955.0,4674.0,5192.0,6875.0,7361.0,7928.0,8135.0,8568.0,8807.0,8921.0,9132.0,9245.0,9677.0,9791.0,9879.0,9958.0,10118.0,10249.0,10328.0,10402.0,10485.0,10581.0,10709,5656.1
Metropolitana,13,La Reina,13113,100252.0,24.0,26.0,30.0,35.0,44.0,52.0,54.0,56.0,59.0,62.0,65.0,84.0,108.0,136.0,173.0,195.0,247.0,294.0,384.0,485.0,644.0,735.0,864.0,953.0,1110.0,1225.0,1513.0,1632.0,1766.0,1810.0,1912.0,2003.0,2047.0,2080.0,2086.0,2121.0,2131.0,2152.0,2169.0,2205.0,2220.0,2247.0,2272.0,2308.0,2334.0,2360,2354.1
Metropolitana,13,Lampa,13302,126898.0,10.0,10.0,13.0,14.0,18.0,26.0,37.0,41.0,45.0,48.0,58.0,68.0,96.0,117.0,172.0,197.0,278.0,306.0,463.0,660.0,864.0,989.0,1108.0,1257.0,1437.0,1608.0,2340.0,2582.0,2778.0,2827.0,2962.0,3100.0,3183.0,3247.0,3312.0,3355.0,3389.0,3411.0,3437.0,3496.0,3545.0,3587.0,3609.0,3631.0,3661.0,3691,2908.6
Metropolitana,13,Las Condes,13114,330759.0,181.0,208.0,224.0,258.0,266.0,281.0,296.0,306.0,320.0,326.0,346.0,355.0,409.0,477.0,626.0,738.0,961.0,1084.0,1439.0,1765.0,2141.0,2436.0,2747.0,3034.0,3370.0,3623.0,4192.0,4478.0,4747.0,4866.0,5083.0,5255.0,5354.0,5434.0,5494.0,5577.0,5635.0,5688.0,5726.0,5791.0,5850.0,5908.0,5956.0,6022.0,6068.0,6127,1852.4
Metropolitana,13,Lo Barnechea,13115,124076.0,68.0,78.0,85.0,97.0,105.0,110.0,116.0,125.0,144.0,157.0,170.0,194.0,238.0,273.0,381.0,422.0,520.0,576.0,742.0,892.0,1060.0,1179.0,1366.0,1475.0,1657.0,1759.0,2177.0,2341.0,2610.0,2664.0,2775.0,2847.0,2893.0,2944.0,3039.0,3118.0,3152.0,3187.0,3210.0,3248.0,3287.0,3366.0,3395.0,3431.0,3461.0,3506,2825.7
Metropolitana,13,Lo Espejo,13116,103865.0,4.0,7.0,9.0,15.0,23.0,34.0,48.0,56.0,60.0,67.0,80.0,100.0,130.0,162.0,222.0,258.0,423.0,525.0,788.0,895.0,1061.0,1295.0,1491.0,1743.0,2103.0,2252.0,2835.0,3103.0,3369.0,3496.0,3636.0,3746.0,3834.0,3934.0,3991.0,4043.0,4078.0,4137.0,4172.0,4240.0,4281.0,4321.0,4337.0,4375.0,4407.0,4450,4284.4
Metropolitana,13,Lo Prado,13117,104403.0,14.0,18.0,20.0,25.0,32.0,35.0,43.0,47.0,62.0,75.0,88.0,111.0,170.0,210.0,258.0,329.0,390.0,435.0,617.0,721.0,900.0,1129.0,1347.0,1566.0,1810.0,2208.0,3032.0,3436.0,3774.0,3872.0,4055.0,4211.0,4325.0,4494.0,4572.0,4647.0,4676.0,4736.0,4776.0,4854.0,4895.0,4944.0,4983.0,5043.0,5078.0,5144,4927.1
Metropolitana,13,Macul,13118,134635.0,10.0,15.0,23.0,34.0,37.0,43.0,49.0,51.0,57.0,64.0,89.0,110.0,136.0,181.0,272.0,336.0,524.0,671.0,949.0,1157.0,1412.0,1684.0,1909.0,2149.0,2473.0,2708.0,3501.0,3779.0,4050.0,4137.0,4284.0,4436.0,4523.0,4599.0,4633.0,4703.0,4734.0,4808.0,4840.0,4892.0,4923.0,4998.0,5037.0,5075.0,5109.0,5131,3811.0
Metropolitana,13,Maipu,13119,578605.0,43.0,55.0,64.0,83.0,106.0,167.0,203.0,241.0,284.0,312.0,364.0,399.0,480.0,580.0,718.0,844.0,1212.0,1347.0,2000.0,2537.0,3193.0,3765.0,4499.0,5273.0,6272.0,7041.0,9361.0,10240.0,11312.0,11666.0,12306.0,12902.0,13272.0,13561.0,13656.0,13848.0,13960.0,14085.0,14243.0,14411.0,14570.0,14774.0,14872.0,15017.0,15118.0,15300,2644.3
Metropolitana,13,Maria Pinto,13504,14926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,12.0,16.0,28.0,50.0,69.0,83.0,97.0,114.0,166.0,191.0,223.0,242.0,270.0,291.0,303.0,318.0,327.0,344.0,351.0,355.0,358.0,364.0,368.0,379.0,386.0,393.0,398.0,412,2760.3
Metropolitana,13,Melipilla,13501,141612.0,6.0,8.0,9.0,11.0,12.0,16.0,17.0,19.0,25.0,35.0,40.0,48.0,74.0,110.0,119.0,136.0,168.0,197.0,310.0,412.0,533.0,693.0,887.0,1060.0,1286.0,1528.0,2044.0,2375.0,2673.0,2808.0,3051.0,3291.0,3408.0,3524.0,3571.0,3634.0,3696.0,3746.0,3764.0,3816.0,3845.0,3885.0,3930.0,3978.0,4002.0,4046,2857.1
Metropolitana,13,Nunoa,13120,250192.0,67.0,84.0,93.0,107.0,118.0,155.0,171.0,188.0,217.0,240.0,269.0,291.0,329.0,365.0,435.0,480.0,692.0,792.0,1091.0,1315.0,1662.0,1940.0,2250.0,2533.0,2955.0,3184.0,3894.0,4202.0,4532.0,4676.0,4832.0,5000.0,5093.0,5167.0,5198.0,5278.0,5285.0,5283.0,5321.0,5388.0,5454.0,5524.0,5587.0,5627.0,5660.0,5700,2278.3
