Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25
Nuble,16,Niquen,16303,11567,0,0,0,0,0,1,0,1,2,0,0,1,0,5,3,11,17,18,1
Nuble,16,Pemuco,16105,8639,0,0,0,0,0,1,0,4,1,0,0,0,3,1,2,5,5,13,14
Nuble,16,Pinto,16106,11880,0,0,0,0,0,2,3,5,1,1,0,0,0,3,0,2,1,0,8
Nuble,16,Portezuelo,16205,4940,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0
Nuble,16,Quillon,16107,18777,0,0,0,0,0,8,8,8,1,0,2,2,2,9,6,13,25,18,14
Nuble,16,Quirihue,16201,12192,0,0,0,0,0,0,1,2,0,1,0,1,7,4,1,4,2,1,1
Nuble,16,Ranquil,16206,6261,0,0,0,0,0,1,3,6,0,0,0,0,1,0,0,0,1,4,2
Nuble,16,San Carlos,16301,56252,0,0,0,0,2,5,10,9,2,3,3,4,7,7,12,28,60,87,27
Nuble,16,San Fabian,16304,4654,0,0,0,0,0,3,3,1,0,1,0,0,0,0,1,0,0,0,0
Nuble,16,San Ignacio,16108,16624,0,0,0,0,0,2,3,1,0,1,3,3,0,2,6,8,8,47,26
Nuble,16,San Nicolas,16305,12172,0,0,0,0,0,2,6,5,4,0,0,0,2,3,9,8,9,4,2
Nuble,16,Treguaco,16207,5696,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
Nuble,16,Yungay,16109,18596,0,0,0,0,0,3,16,21,3,4,6,2,2,2,0,6,2,4,5
Nuble,16,Desconocido Nuble,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
Nuble,16,Total,,511551,0,1,0,1,35,167,222,165,74,60,51,41,75,176,164,214,316,356,236
,,,,,,,,,,,,,,,,,,,,,,,
Biobio,08,Alto Biobio,08314,6775,0,0,0,0,0,0,0,0,0,0,0,0,0,7,45,55,31,10,3
Biobio,08,Antuco,08302,4306,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,13,2,5,1
Biobio,08,Arauco,08202,38679,0,0,0,0,1,2,2,1,0,0,0,5,4,14,16,24,22,26,17
Biobio,08,Cabrero,08303,30725,0,0,0,0,0,1,0,4,3,7,1,3,4,2,3,4,17,37,37
Biobio,08,Canete,08203,37003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4,7,1,2
Biobio,08,Chiguayante,08103,91180,0,0,0,0,5,5,9,16,11,10,11,8,6,8,9,26,40,42,20
Biobio,08,Concepcion,08101,238092,0,0,1,1,7,28,28,23,22,18,14,19,21,20,90,97,125,184,69
Biobio,08,Contulmo,08204,6330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
Biobio,08,Coronel,08102,125829,0,0,0,0,1,6,6,4,1,0,5,2,14,14,50,129,113,121,48
Biobio,08,Curanilahue,08205,33892,0,0,0,0,0,1,0,0,0,0,0,1,3,0,2,4,11,8,1
Biobio,08,Florida,08104,11841,0,0,0,0,0,0,2,1,0,0,0,0,2,0,1,0,0,2,1
Biobio,08,Hualpen,08112,97273,0,0,0,0,3,23,33,26,17,8,2,5,11,9,17,29,24,45,10
Biobio,08,Hualqui,08105,26201,0,0,0,0,1,1,2,3,4,9,0,1,2,5,12,7,13,13,6
Biobio,08,Laja,08304,23873,0,0,0,1,1,0,3,1,1,1,5,1,17,20,8,7,9,6,3
Biobio,08,Lebu,08201,27100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,6,4,2
Biobio,08,Los Alamos,08206,22524,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,4,4,3
Biobio,08,Los Angeles,08301,218515,0,0,0,0,3,6,9,6,5,4,0,4,32,64,89,77,85,58,26
Biobio,08,Lota,08106,45750,0,0,0,0,0,1,0,0,0,0,0,1,16,10,14,22,19,29,10
Biobio,08,Mulchen,08305,31041,0,0,0,0,0,1,4,0,0,0,0,2,3,1,1,11,3,2,1
Biobio,08,Nacimiento,08306,27944,0,0,0,0,0,2,3,3,2,0,1,3,8,4,8,7,5,15,5
Biobio,08,Negrete,08307,10429,0,0,0,0,0,0,0,2,0,0,0,0,7,12,10,9,11,18,4
Biobio,08,Penco,08107,49865,0,0,0,0,0,1,3,3,3,8,0,3,2,2,10,14,43,55,20
Biobio,08,Quilaco,08308,4179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0
Biobio,08,Quilleco,08309,10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0
Biobio,08,San Pedro de la Paz,08108,145906,0,0,0,0,6,34,17,24,8,11,3,2,13,13,38,61,64,70,24
Biobio,08,San Rosendo,08310,3611,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,6,0,2
Biobio,08,Santa Barbara,08311,14592,0,0,0,0,0,0,2,0,0,0,0,0,4,9,7,18,8,17,7
Biobio,08,Santa Juana,08109,14779,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,16,18,6
Biobio,08,Talcahuano,08110,158345,0,0,0,0,1,16,16,17,14,14,20,17,19,18,42,69,55,71,33
Biobio,08,Tirua,08207,11019,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,4,5,0
Biobio,08,Tome,08111,58729,0,0,0,0,0,9,13,12,7,9,1,4,16,5,8,14,53,53,11
Biobio,08,Tucapel,08312,15205,0,0,0,0,0,0,0,1,0,0,0,0,1,4,6,11,32,8,4
Biobio,08,Yumbel,08313,22132,0,0,0,0,0,0,5,0,1,1,1,2,4,3,5,12,2,15,6
Biobio,08,Desconocido Biobio,,,0,0,0,0,0,2,0,0,0,2,1,0,6,6,8,11,11,69,52
Biobio,08,Total,,1663696,0,0,1,2,29,140,159,149,100,102,66,85,219,255,510,756,846,1013,437
,,,,,,,,,,,,,,,,,,,,,,,
La Araucania,09,Angol,09201,56058,0,0,0,1,1,3,10,11,15,35,27,11,10,7,24,19,58,54,6
La Araucania,09,Carahue,09102,25486,0,0,0,0,0,0,3,10,9,8,5,1,0,2,14,11,5,2,0
La Araucania,09,Cholchol,09121,12341,0,0,0,0,0,1,2,0,0,1,0,0,1,0,1,12,5,2,0
La Araucania,09,Collipulli,09202,26148,0,0,0,0,0,0,0,1,1,1,3,0,2,9,9,6,7,5,1
La Araucania,09,Cunco,09103,18055,0,0,0,0,0,0,3,2,0,1,0,0,1,5,18,0,11,8,0
La Araucania,09,Curacautin,09203,18178,0,0,0,0,0,2,0,2,0,0,2,0,1,0,1,2,4,8,1
La Araucania,09,Curarrehue,09104,7802,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
La Araucania,09,Ercilla,09204,8458,0,0,0,0,0,0,0,4,1,4,1,1,0,0,4,1,1,2,1
La Araucania,09,Freire,09105,25446,0,0,0,0,0,2,4,0,0,2,0,0,11,11,28,16,18,5,7
La Araucania,09,Galvarino,09106,12633,0,0,0,0,0,0,0,2,0,0,0,1,0,0,6,44,44,13,3
La Araucania,09,Gorbea,09107,15148,0,0,0,0,1,4,4,1,0,1,0,1,3,0,5,6,6,6,0
La Araucania,09,Lautaro,09108,40746,0,0,1,0,0,6,3,15,5,6,2,7,9,3,14,21,6,8,2
La Araucania,09,Loncoche,09109,24739,0,0,0,0,0,2,3,2,4,3,3,1,2,2,7,20,4,11,2
La Araucania,09,Lonquimay,09205,11049,0,0,0,0,0,0,0,0,0,0,2,13,13,27,12,2,0,0,0
La Araucania,09,Los Sauces,09206,7517,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,1,0
La Araucania,09,Lumaco,09207,10050,0,0,0,0,0,0,0,0,0,4,2,1,0,1,3,2,7,6,2
La Araucania,09,Melipeuco,09110,6265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0
La Araucania,09,Nueva Imperial,09111,33777,0,0,0,0,0,4,10,4,13,6,3,2,6,5,2,3,23,14,5
La Araucania,09,Padre Las Casas,09112,82110,0,0,0,0,0,12,28,24,16,15,11,0,5,24,16,14,4,4,3
La Araucania,09,Perquenco,09113,7223,0,0,0,0,0,1,1,0,0,3,0,0,1,0,0,2,7,1,0
La Araucania,09,Pitrufquen,09114,26096,0,0,0,0,0,4,9,4,0,1,0,0,1,6,15,22,9,3,0
La Araucania,09,Pucon,09115,29782,0,0,0,0,1,3,0,4,3,1,3,0,3,2,13,19,11,5,1
La Araucania,09,Puren,09208,12188,0,0,0,0,0,0,2,0,0,2,0,2,1,0,1,1,0,4,1
La Araucania,09,Renaico,09209,10833,0,0,0,0,0,0,0,1,3,2,1,4,3,5,4,2,3,3,1
La Araucania,09,Saavedra,09116,12793,0,0,0,0,1,1,0,1,5,8,17,13,18,10,9,5,7,4,0
La Araucania,09,Temuco,09101,302931,0,0,0,3,26,156,173,129,111,57,25,27,49,44,27,17,22,24,7
La Araucania,09,Teodoro Schmidt,09117,15786,0,0,0,0,0,1,2,0,1,1,0,0,0,1,3,1,1,13,0
La Araucania,09,Tolten,09118,10055,0,0,0,0,0,4,2,2,0,0,0,0,0,2,5,1,1,0,0
La Araucania,09,Traiguen,09210,19314,0,0,0,0,0,0,0,1,0,1,0,0,1,4,4,7,7,10,1
La Araucania,09,Victoria,09211,35467,0,0,0,0,1,2,9,2,2,30,20,11,2,4,18,15,24,20,5
La Araucania,09,Vilcun,09119,30766,0,0,0,0,0,6,11,15,7,4,5,4,5,7,21,9,7,1,3
La Araucania,09,Villarrica,09120,59103,0,0,0,0,0,2,10,6,1,0,1,0,1,2,4,7,7,15,2
La Araucania,09,Desconocido La Araucania,,,0,0,0,0,0,1,1,1,0,0,1,0,3,0,3,1,0,2,1
La Araucania,09,Total,,1014343,0,0,1,4,32,218,292,244,197,198,134,100,152,183,297,293,312,254,55
,,,,,,,,,,,,,,,,,,,,,,,
Los Rios,14,Corral,14102,5447,0,0,0,0,0,0,0,0,0,1,0,0,6,4,2,2,5,2,0
Los Rios,14,Futrono,14202,15261,0,0,0,0,0,1,3,1,0,0,0,0,1,5,19,8,15,3,0
Los Rios,14,La Union,14201,39538,0,0,0,0,1,5,8,4,6,9,4,2,2,2,2,6,11,12,2
Los Rios,14,Lago Ranco,14203,10292,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Los Rios,14,Lanco,14103,17652,0,0,0,0,0,0,1,2,1,2,0,3,0,0,0,1,3,10,0
Los Rios,14,Los Lagos,14104,20518,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,11,14,20,1
Los Rios,14,Mafil,14105,7389,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,2,12,1
Los Rios,14,Mariquina,14106,23250,0,0,0,0,0,3,1,4,1,0,0,0,2,1,3,2,0,2,0
Los Rios,14,Paillaco,14107,20798,0,0,0,0,0,1,0,0,0,0,0,0,0,8,13,3,0,1,0
Los Rios,14,Panguipulli,14108,35991,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,8,18,1,0
Los Rios,14,Rio Bueno,14204,32925,0,0,0,0,0,3,1,3,2,1,2,1,0,0,3,1,1,1,0
Los Rios,14,Valdivia,14101,176774,0,0,0,1,1,25,32,25,18,8,8,4,2,10,30,24,16,26,13
Los Rios,14,Desconocido Los Rios,,,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
Los Rios,14,Total,,405835,0,0,0,1,3,40,47,39,29,23,14,11,13,36,90,67,85,91,17
,,,,,,,,,,,,,,,,,,,,,,,
Los Lagos,10,Ancud,10202,42458,0,0,0,0,0,0,1,0,6,3,1,21,19,23,10,2,4,4,0
Los Lagos,10,Calbuco,10102,36744,0,0,0,0,0,3,1,1,1,1,0,0,1,0,0,1,0,0,2
Los Lagos,10,Castro,10201,47607,0,0,0,0,0,2,0,5,0,0,0,0,1,0,0,0,0,1,0
Los Lagos,10,Chaiten,10401,5020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Chonchi,10203,16013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Cochamo,10103,4006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Curaco de Velez,10204,4066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Dalcahue,10205,15069,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,1,0
Los Lagos,10,Fresia,10104,12656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
Los Lagos,10,Frutillar,10105,20223,0,0,0,0,0,0,1,3,2,0,0,0,1,0,3,2,3,3,2
Los Lagos,10,Futaleufu,10402,2806,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Los Lagos,10,Hualaihue,10403,9525,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1
Los Lagos,10,Llanquihue,10107,18621,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,3,2,13,4
Los Lagos,10,Los Muermos,10106,17817,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
Los Lagos,10,Maullin,10108,14894,0,0,0,0,0,0,0,0,1,0,0,0,0,5,9,0,0,1,1
Los Lagos,10,Osorno,10301,173410,0,0,0,0,3,59,104,63,36,18,15,20,14,9,19,32,27,20,12
Los Lagos,10,Palena,10404,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Puerto Montt,10101,269398,0,0,0,1,2,13,18,11,3,5,1,1,8,18,56,58,65,81,15
Los Lagos,10,Puerto Octay,10302,9192,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0
Los Lagos,10,Puerto Varas,10109,48620,0,0,0,0,1,0,2,3,2,1,0,0,1,4,7,8,19,9,4
Los Lagos,10,Puqueldon,10206,4201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Purranque,10303,21080,0,0,0,0,0,0,3,12,5,1,2,3,1,5,13,21,2,0,0
Los Lagos,10,Puyehue,10304,11787,0,0,0,0,0,1,1,1,1,1,1,2,0,1,0,1,1,2,0
Los Lagos,10,Queilen,10207,5543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Quellon,10208,29309,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Los Lagos,10,Quemchi,10209,8783,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,0,0,0
Los Lagos,10,Quinchao,10210,8298,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Los Lagos,10,Rio Negro,10305,14275,0,0,0,0,0,0,2,3,0,4,6,1,4,5,4,3,0,1,0
Los Lagos,10,San Juan de la Costa,10306,7639,0,0,0,0,0,0,1,10,2,6,7,2,5,2,0,0,3,4,0
Los Lagos,10,San Pablo,10307,10553,0,0,0,0,0,0,2,4,0,3,0,0,0,2,1,0,0,0,0
Los Lagos,10,Desconocido Los Lagos,,,0,0,0,0,9,13,4,4,1,2,3,1,0,2,3,3,3,2,2
Los Lagos,10,Total,,891440,0,0,0,1,15,93,146,120,61,46,37,52,64,82,132,142,129,152,45
,,,,,,,,,,,,,,,,,,,,,,,
Aysen,11,Aysen,11201,25002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,2
Aysen,11,Chile Chico,11401,5121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Cisnes,11202,5828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Cochrane,11301,3685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Coyhaique,,61210,0,0,0,0,1,0,0,1,0,0,0,0,1,0,5,3,2,2,0
Aysen,11,Guaitecas,11203,1599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Lago Verde,11102,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,OHiggins,,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Rio Ibanez,11402,2699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Tortel,11303,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Desconocido Aysen,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Total,,107297,0,0,0,0,3,0,0,2,0,0,0,0,1,0,6,5,2,4,2
,,,,,,,,,,,,,,,,,,,,,,,
Magallanes y la Antartica,12,Antartica,12202,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,Cabo de Hornos,12201,1983,0,0,0,0,2,6,4,1,6,0,0,0,1,0,1,0,0,0,0
Magallanes y la Antartica,12,Laguna Blanca,12102,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,Natales,12401,23782,0,0,0,0,1,3,2,0,1,1,0,2,0,3,2,0,0,0,0
Magallanes y la Antartica,12,Porvenir,12301,7323,0,0,0,0,0,0,3,1,2,2,0,0,1,0,0,0,1,0,0
Magallanes y la Antartica,12,Primavera,12302,694,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Magallanes y la Antartica,12,Punta Arenas,12101,141984,0,0,0,2,5,66,121,146,154,132,85,108,82,51,50,24,48,88,41
Magallanes y la Antartica,12,Rio Verde,12103,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,San Gregorio,12104,681,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Magallanes y la Antartica,12,Timaukel,12303,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,Torres del Paine,12402,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,Desconocido Magallanes y la Antartica,,,0,0,0,0,0,0,0,1,42,15,5,1,3,0,1,0,0,1,0
Magallanes y la Antartica,,Total,,178362,0,0,0,2,8,75,130,149,206,150,90,111,89,54,54,24,50,89,41
