english,spanish,portuguese
SO2 Percent Change,Cambio porcentual de SO2,Mudança percentual de SO2
,,
MAP: QUERÉTARO,MAP: QUERÉTARO,MAP: QUERÉTARO
2015 Population,Población 2015,População 2015
COVID Cases per 1000 People,Casos de COVID por 1000 personas,Casos COVID por 1000 pessoas
COVID Deaths per 1000 People,Fallecidos COVID por 1000 personas,COVID Mortes por 1000 pessoas
COVID Hospitalizations per 1000 People,Hospitalizaciones por COVID por 1000 personas,Hospitalizações COVID por 1000 pessoas
,,
MAP: SANTIAGO,MAP: SANTIAGO,MAP: SANTIAGO
Weekly Mobility,Movilidad semanal,Mobilidade Semanal
,,
MAP: RIO DE JANEIRO,MAP: RIO DE JANEIRO,MAP: RIO DE JANEIRO
Barometric Pressure,Presión barométrica,Pressão barométrica
Nightlights,Luces nocturnas,Luzes noturnas
Nightlights Mean Anomaly,Las luces nocturnas promedio anomalías,Luzes noturnas média anomalia
Rainfall,Lluvia,Chuva
Relative Humidity,Humedad relativa,Humidade relativa
Solar Radiation,Radiación solar,Radiação solar
Temperature,Temperatura,Temperatura
Visual Composite,Compuesto visual,Composto Visual
Wind Direction,Dirección del viento,Direção do vento
Wind Speed,Velocidad del viento,Velocidade do vento
