Dato,Fecha,Total
Casos recuperados por FD,2020-04-15,2937.0
Casos confirmados recuperados,2020-04-15,
Casos activos confirmados,2020-04-15,
Casos probables acumulados,2020-04-15,
Casos activos probables,2020-04-15,
Casos nuevos sin notificar,2020-04-15,
Casos nuevos con sintomas,2020-04-16,534.0
Casos totales,2020-04-16,8807.0
Casos recuperados,2020-04-16,3299.0
Fallecidos,2020-04-16,105.0
Casos activos,2020-04-16,5403.0
Casos nuevos sin sintomas,2020-04-16,
Casos nuevos totales,2020-04-16,534.0
Casos activos por FD,2020-04-16,5403.0
Casos activos por FIS,2020-04-16,
Casos recuperados por FIS,2020-04-16,
Casos recuperados por FD,2020-04-16,3299.0
Casos confirmados recuperados,2020-04-16,
Casos activos confirmados,2020-04-16,
Casos probables acumulados,2020-04-16,
Casos activos probables,2020-04-16,
Casos nuevos sin notificar,2020-04-16,
Casos nuevos con sintomas,2020-04-17,445.0
Casos totales,2020-04-17,9252.0
Casos recuperados,2020-04-17,3621.0
Fallecidos,2020-04-17,116.0
Casos activos,2020-04-17,5515.0
Casos nuevos sin sintomas,2020-04-17,
Casos nuevos totales,2020-04-17,445.0
Casos activos por FD,2020-04-17,5515.0
Casos activos por FIS,2020-04-17,
Casos recuperados por FIS,2020-04-17,
Casos recuperados por FD,2020-04-17,3621.0
Casos confirmados recuperados,2020-04-17,
Casos activos confirmados,2020-04-17,
Casos probables acumulados,2020-04-17,
Casos activos probables,2020-04-17,
Casos nuevos sin notificar,2020-04-17,
Casos nuevos con sintomas,2020-04-18,478.0
Casos totales,2020-04-18,9730.0
Casos recuperados,2020-04-18,4035.0
Fallecidos,2020-04-18,126.0
Casos activos,2020-04-18,5569.0
Casos nuevos sin sintomas,2020-04-18,
Casos nuevos totales,2020-04-18,478.0
Casos activos por FD,2020-04-18,5569.0
Casos activos por FIS,2020-04-18,
Casos recuperados por FIS,2020-04-18,
Casos recuperados por FD,2020-04-18,4035.0
Casos confirmados recuperados,2020-04-18,
Casos activos confirmados,2020-04-18,
Casos probables acumulados,2020-04-18,
Casos activos probables,2020-04-18,
Casos nuevos sin notificar,2020-04-18,
Casos nuevos con sintomas,2020-04-19,358.0
Casos totales,2020-04-19,10088.0
Casos recuperados,2020-04-19,4338.0
Fallecidos,2020-04-19,133.0
Casos activos,2020-04-19,5617.0
Casos nuevos sin sintomas,2020-04-19,
Casos nuevos totales,2020-04-19,358.0
Casos activos por FD,2020-04-19,5617.0
Casos activos por FIS,2020-04-19,
Casos recuperados por FIS,2020-04-19,
Casos recuperados por FD,2020-04-19,4338.0
Casos confirmados recuperados,2020-04-19,
Casos activos confirmados,2020-04-19,
Casos probables acumulados,2020-04-19,
Casos activos probables,2020-04-19,
Casos nuevos sin notificar,2020-04-19,
Casos nuevos con sintomas,2020-04-20,419.0
Casos totales,2020-04-20,10507.0
Casos recuperados,2020-04-20,4676.0
Fallecidos,2020-04-20,139.0
Casos activos,2020-04-20,5692.0
Casos nuevos sin sintomas,2020-04-20,
Casos nuevos totales,2020-04-20,419.0
Casos activos por FD,2020-04-20,5692.0
Casos activos por FIS,2020-04-20,
Casos recuperados por FIS,2020-04-20,
Casos recuperados por FD,2020-04-20,4676.0
Casos confirmados recuperados,2020-04-20,
Casos activos confirmados,2020-04-20,
Casos probables acumulados,2020-04-20,
Casos activos probables,2020-04-20,
Casos nuevos sin notificar,2020-04-20,
Casos nuevos con sintomas,2020-04-21,325.0
Casos totales,2020-04-21,10832.0
Casos recuperados,2020-04-21,4969.0
Fallecidos,2020-04-21,147.0
Casos activos,2020-04-21,5716.0
Casos nuevos sin sintomas,2020-04-21,
Casos nuevos totales,2020-04-21,325.0
Casos activos por FD,2020-04-21,5716.0
Casos activos por FIS,2020-04-21,
Casos recuperados por FIS,2020-04-21,
Casos recuperados por FD,2020-04-21,4969.0
Casos confirmados recuperados,2020-04-21,
Casos activos confirmados,2020-04-21,
Casos probables acumulados,2020-04-21,
Casos activos probables,2020-04-21,
Casos nuevos sin notificar,2020-04-21,
Casos nuevos con sintomas,2020-04-22,464.0
Casos totales,2020-04-22,11296.0
Casos recuperados,2020-04-22,5386.0
Fallecidos,2020-04-22,160.0
Casos activos,2020-04-22,5750.0
Casos nuevos sin sintomas,2020-04-22,
Casos nuevos totales,2020-04-22,464.0
Casos activos por FD,2020-04-22,5750.0
Casos activos por FIS,2020-04-22,
Casos recuperados por FIS,2020-04-22,
Casos recuperados por FD,2020-04-22,5386.0
Casos confirmados recuperados,2020-04-22,
Casos activos confirmados,2020-04-22,
Casos probables acumulados,2020-04-22,
Casos activos probables,2020-04-22,
Casos nuevos sin notificar,2020-04-22,
Casos nuevos con sintomas,2020-04-23,516.0
Casos totales,2020-04-23,11812.0
Casos recuperados,2020-04-23,5804.0
Fallecidos,2020-04-23,168.0
Casos activos,2020-04-23,5840.0
Casos nuevos sin sintomas,2020-04-23,
Casos nuevos totales,2020-04-23,516.0
Casos activos por FD,2020-04-23,5840.0
Casos activos por FIS,2020-04-23,
Casos recuperados por FIS,2020-04-23,
Casos recuperados por FD,2020-04-23,5804.0
Casos confirmados recuperados,2020-04-23,
Casos activos confirmados,2020-04-23,
Casos probables acumulados,2020-04-23,
Casos activos probables,2020-04-23,
Casos nuevos sin notificar,2020-04-23,
Casos nuevos con sintomas,2020-04-24,494.0
Casos totales,2020-04-24,12306.0
Casos recuperados,2020-04-24,6327.0
Fallecidos,2020-04-24,174.0
Casos activos,2020-04-24,5805.0
Casos nuevos sin sintomas,2020-04-24,
Casos nuevos totales,2020-04-24,494.0
Casos activos por FD,2020-04-24,5805.0
Casos activos por FIS,2020-04-24,
Casos recuperados por FIS,2020-04-24,
Casos recuperados por FD,2020-04-24,6327.0
Casos confirmados recuperados,2020-04-24,
Casos activos confirmados,2020-04-24,
Casos probables acumulados,2020-04-24,
Casos activos probables,2020-04-24,
Casos nuevos sin notificar,2020-04-24,
Casos nuevos con sintomas,2020-04-25,552.0
Casos totales,2020-04-25,12858.0
Casos recuperados,2020-04-25,6746.0
Fallecidos,2020-04-25,181.0
Casos activos,2020-04-25,5931.0
Casos nuevos sin sintomas,2020-04-25,
Casos nuevos totales,2020-04-25,552.0
Casos activos por FD,2020-04-25,5931.0
Casos activos por FIS,2020-04-25,
Casos recuperados por FIS,2020-04-25,
Casos recuperados por FD,2020-04-25,6746.0
Casos confirmados recuperados,2020-04-25,
Casos activos confirmados,2020-04-25,
Casos probables acumulados,2020-04-25,
Casos activos probables,2020-04-25,
Casos nuevos sin notificar,2020-04-25,
Casos nuevos con sintomas,2020-04-26,473.0
Casos totales,2020-04-26,13331.0
Casos recuperados,2020-04-26,7024.0
Fallecidos,2020-04-26,189.0
Casos activos,2020-04-26,6118.0
Casos nuevos sin sintomas,2020-04-26,
Casos nuevos totales,2020-04-26,473.0
Casos activos por FD,2020-04-26,6118.0
Casos activos por FIS,2020-04-26,
Casos recuperados por FIS,2020-04-26,
Casos recuperados por FD,2020-04-26,7024.0
Casos confirmados recuperados,2020-04-26,
Casos activos confirmados,2020-04-26,
Casos probables acumulados,2020-04-26,
Casos activos probables,2020-04-26,
Casos nuevos sin notificar,2020-04-26,
Casos nuevos con sintomas,2020-04-27,482.0
Casos totales,2020-04-27,13813.0
Casos recuperados,2020-04-27,7327.0
Fallecidos,2020-04-27,198.0
Casos activos,2020-04-27,6288.0
Casos nuevos sin sintomas,2020-04-27,
Casos nuevos totales,2020-04-27,482.0
Casos activos por FD,2020-04-27,6288.0
Casos activos por FIS,2020-04-27,
Casos recuperados por FIS,2020-04-27,
Casos recuperados por FD,2020-04-27,7327.0
Casos confirmados recuperados,2020-04-27,
Casos activos confirmados,2020-04-27,
Casos probables acumulados,2020-04-27,
Casos activos probables,2020-04-27,
Casos nuevos sin notificar,2020-04-27,
Casos nuevos con sintomas,2020-04-28,552.0
Casos totales,2020-04-28,14365.0
Casos recuperados,2020-04-28,7710.0
Fallecidos,2020-04-28,207.0
Casos activos,2020-04-28,6448.0
Casos nuevos sin sintomas,2020-04-28,
Casos nuevos totales,2020-04-28,552.0
Casos activos por FD,2020-04-28,6448.0
Casos activos por FIS,2020-04-28,
Casos recuperados por FIS,2020-04-28,
Casos recuperados por FD,2020-04-28,7710.0
Casos confirmados recuperados,2020-04-28,
Casos activos confirmados,2020-04-28,
Casos probables acumulados,2020-04-28,
Casos activos probables,2020-04-28,
Casos nuevos sin notificar,2020-04-28,
Casos nuevos con sintomas,2020-04-29,520.0
Casos totales,2020-04-29,15135.0
Casos recuperados,2020-04-29,8057.0
Fallecidos,2020-04-29,216.0
Casos activos,2020-04-29,6862.0
Casos nuevos sin sintomas,2020-04-29,250.0
Casos nuevos totales,2020-04-29,770.0
Casos activos por FD,2020-04-29,6862.0
Casos activos por FIS,2020-04-29,
Casos recuperados por FIS,2020-04-29,
Casos recuperados por FD,2020-04-29,8057.0
Casos confirmados recuperados,2020-04-29,
Casos activos confirmados,2020-04-29,
Casos probables acumulados,2020-04-29,
Casos activos probables,2020-04-29,
Casos nuevos sin notificar,2020-04-29,
Casos nuevos con sintomas,2020-04-30,780.0
Casos totales,2020-04-30,16023.0
Casos recuperados,2020-04-30,8580.0
Fallecidos,2020-04-30,227.0
Casos activos,2020-04-30,7216.0
Casos nuevos sin sintomas,2020-04-30,108.0
Casos nuevos totales,2020-04-30,888.0
Casos activos por FD,2020-04-30,7216.0
Casos activos por FIS,2020-04-30,
Casos recuperados por FIS,2020-04-30,
Casos recuperados por FD,2020-04-30,8580.0
Casos confirmados recuperados,2020-04-30,
Casos activos confirmados,2020-04-30,
Casos probables acumulados,2020-04-30,
Casos activos probables,2020-04-30,
Casos nuevos sin notificar,2020-04-30,
Casos nuevos con sintomas,2020-05-01,882.0
Casos totales,2020-05-01,17008.0
Casos recuperados,2020-05-01,9018.0
Fallecidos,2020-05-01,234.0
Casos activos,2020-05-01,7756.0
Casos nuevos sin sintomas,2020-05-01,103.0
Casos nuevos totales,2020-05-01,985.0
Casos activos por FD,2020-05-01,7756.0
Casos activos por FIS,2020-05-01,
Casos recuperados por FIS,2020-05-01,
Casos recuperados por FD,2020-05-01,9018.0
Casos confirmados recuperados,2020-05-01,
Casos activos confirmados,2020-05-01,
Casos probables acumulados,2020-05-01,
Casos activos probables,2020-05-01,
Casos nuevos sin notificar,2020-05-01,
Casos nuevos con sintomas,2020-05-02,1246.0
Casos totales,2020-05-02,18435.0
Casos recuperados,2020-05-02,9572.0
Fallecidos,2020-05-02,247.0
Casos activos,2020-05-02,8616.0
Casos nuevos sin sintomas,2020-05-02,181.0
Casos nuevos totales,2020-05-02,1427.0
Casos activos por FD,2020-05-02,8616.0
Casos activos por FIS,2020-05-02,
Casos recuperados por FIS,2020-05-02,
Casos recuperados por FD,2020-05-02,9572.0
Casos confirmados recuperados,2020-05-02,
Casos activos confirmados,2020-05-02,
Casos probables acumulados,2020-05-02,
Casos activos probables,2020-05-02,
Casos nuevos sin notificar,2020-05-02,
Casos nuevos con sintomas,2020-05-03,1112.0
Casos totales,2020-05-03,19663.0
Casos recuperados,2020-05-03,10041.0
Fallecidos,2020-05-03,260.0
Casos activos,2020-05-03,9362.0
Casos nuevos sin sintomas,2020-05-03,116.0
Casos nuevos totales,2020-05-03,1228.0
Casos activos por FD,2020-05-03,9362.0
Casos activos por FIS,2020-05-03,
Casos recuperados por FIS,2020-05-03,
Casos recuperados por FD,2020-05-03,10041.0
Casos confirmados recuperados,2020-05-03,
Casos activos confirmados,2020-05-03,
Casos probables acumulados,2020-05-03,
Casos activos probables,2020-05-03,
Casos nuevos sin notificar,2020-05-03,
Casos nuevos con sintomas,2020-05-04,876.0
Casos totales,2020-05-04,20643.0
Casos recuperados,2020-05-04,10415.0
Fallecidos,2020-05-04,270.0
Casos activos,2020-05-04,9958.0
Casos nuevos sin sintomas,2020-05-04,104.0
Casos nuevos totales,2020-05-04,980.0
Casos activos por FD,2020-05-04,9958.0
Casos activos por FIS,2020-05-04,
Casos recuperados por FIS,2020-05-04,
Casos recuperados por FD,2020-05-04,10415.0
Casos confirmados recuperados,2020-05-04,
Casos activos confirmados,2020-05-04,
Casos probables acumulados,2020-05-04,
Casos activos probables,2020-05-04,
Casos nuevos sin notificar,2020-05-04,
Casos nuevos con sintomas,2020-05-05,1317.0
Casos totales,2020-05-05,22016.0
Casos recuperados,2020-05-05,10710.0
Fallecidos,2020-05-05,275.0
Casos activos,2020-05-05,11031.0
Casos nuevos sin sintomas,2020-05-05,56.0
Casos nuevos totales,2020-05-05,1373.0
Casos activos por FD,2020-05-05,11031.0
Casos activos por FIS,2020-05-05,
Casos recuperados por FIS,2020-05-05,
Casos recuperados por FD,2020-05-05,10710.0
Casos confirmados recuperados,2020-05-05,
Casos activos confirmados,2020-05-05,
Casos probables acumulados,2020-05-05,
Casos activos probables,2020-05-05,
Casos nuevos sin notificar,2020-05-05,
Casos nuevos con sintomas,2020-05-06,893.0
Casos totales,2020-05-06,23048.0
Casos recuperados,2020-05-06,11189.0
Fallecidos,2020-05-06,281.0
Casos activos,2020-05-06,11578.0
Casos nuevos sin sintomas,2020-05-06,139.0
Casos nuevos totales,2020-05-06,1032.0
Casos activos por FD,2020-05-06,11578.0
Casos activos por FIS,2020-05-06,
Casos recuperados por FIS,2020-05-06,
Casos recuperados por FD,2020-05-06,11189.0
Casos confirmados recuperados,2020-05-06,
Casos activos confirmados,2020-05-06,
Casos probables acumulados,2020-05-06,
Casos activos probables,2020-05-06,
Casos nuevos sin notificar,2020-05-06,
Casos nuevos con sintomas,2020-05-07,1343.0
Casos totales,2020-05-07,24581.0
Casos recuperados,2020-05-07,11664.0
Fallecidos,2020-05-07,285.0
Casos activos,2020-05-07,12632.0
Casos nuevos sin sintomas,2020-05-07,190.0
Casos nuevos totales,2020-05-07,1533.0
Casos activos por FD,2020-05-07,12632.0
Casos activos por FIS,2020-05-07,
Casos recuperados por FIS,2020-05-07,
Casos recuperados por FD,2020-05-07,11664.0
Casos confirmados recuperados,2020-05-07,
Casos activos confirmados,2020-05-07,
Casos probables acumulados,2020-05-07,
Casos activos probables,2020-05-07,
Casos nuevos sin notificar,2020-05-07,
Casos nuevos con sintomas,2020-05-08,1183.0
Casos totales,2020-05-08,25972.0
Casos recuperados,2020-05-08,12160.0
Fallecidos,2020-05-08,294.0
Casos activos,2020-05-08,13518.0
Casos nuevos sin sintomas,2020-05-08,208.0
Casos nuevos totales,2020-05-08,1391.0
Casos activos por FD,2020-05-08,13518.0
Casos activos por FIS,2020-05-08,
Casos recuperados por FIS,2020-05-08,
Casos recuperados por FD,2020-05-08,12160.0
Casos confirmados recuperados,2020-05-08,
Casos activos confirmados,2020-05-08,
Casos probables acumulados,2020-05-08,
Casos activos probables,2020-05-08,
Casos nuevos sin notificar,2020-05-08,
Casos nuevos con sintomas,2020-05-09,1004.0
Casos totales,2020-05-09,27219.0
Casos recuperados,2020-05-09,12667.0
Fallecidos,2020-05-09,304.0
Casos activos,2020-05-09,14248.0
Casos nuevos sin sintomas,2020-05-09,243.0
Casos nuevos totales,2020-05-09,1247.0
Casos activos por FD,2020-05-09,14248.0
Casos activos por FIS,2020-05-09,
Casos recuperados por FIS,2020-05-09,
Casos recuperados por FD,2020-05-09,12667.0
Casos confirmados recuperados,2020-05-09,
Casos activos confirmados,2020-05-09,
Casos probables acumulados,2020-05-09,
Casos activos probables,2020-05-09,
Casos nuevos sin notificar,2020-05-09,
Casos nuevos con sintomas,2020-05-10,1406.0
Casos totales,2020-05-10,28866.0
Casos recuperados,2020-05-10,13112.0
Fallecidos,2020-05-10,312.0
Casos activos,2020-05-10,15442.0
Casos nuevos sin sintomas,2020-05-10,241.0
Casos nuevos totales,2020-05-10,1647.0
Casos activos por FD,2020-05-10,15442.0
Casos activos por FIS,2020-05-10,
Casos recuperados por FIS,2020-05-10,
Casos recuperados por FD,2020-05-10,13112.0
Casos confirmados recuperados,2020-05-10,
Casos activos confirmados,2020-05-10,
Casos probables acumulados,2020-05-10,
Casos activos probables,2020-05-10,
Casos nuevos sin notificar,2020-05-10,
Casos nuevos con sintomas,2020-05-11,975.0
Casos totales,2020-05-11,30063.0
Casos recuperados,2020-05-11,13605.0
Fallecidos,2020-05-11,323.0
Casos activos,2020-05-11,16135.0
Casos nuevos sin sintomas,2020-05-11,222.0
Casos nuevos totales,2020-05-11,1197.0
Casos activos por FD,2020-05-11,16135.0
Casos activos por FIS,2020-05-11,
Casos recuperados por FIS,2020-05-11,
Casos recuperados por FD,2020-05-11,13605.0
Casos confirmados recuperados,2020-05-11,
Casos activos confirmados,2020-05-11,
Casos probables acumulados,2020-05-11,
Casos activos probables,2020-05-11,
Casos nuevos sin notificar,2020-05-11,
Casos nuevos con sintomas,2020-05-12,1479.0
Casos totales,2020-05-12,31721.0
Casos recuperados,2020-05-12,14125.0
Fallecidos,2020-05-12,335.0
Casos activos,2020-05-12,17261.0
Casos nuevos sin sintomas,2020-05-12,179.0
Casos nuevos totales,2020-05-12,1658.0
Casos activos por FD,2020-05-12,17261.0
Casos activos por FIS,2020-05-12,
Casos recuperados por FIS,2020-05-12,
Casos recuperados por FD,2020-05-12,14125.0
Casos confirmados recuperados,2020-05-12,
Casos activos confirmados,2020-05-12,
Casos probables acumulados,2020-05-12,
Casos activos probables,2020-05-12,
Casos nuevos sin notificar,2020-05-12,
Casos nuevos con sintomas,2020-05-13,2152.0
Casos totales,2020-05-13,34381.0
Casos recuperados,2020-05-13,14865.0
Fallecidos,2020-05-13,346.0
Casos activos,2020-05-13,19170.0
Casos nuevos sin sintomas,2020-05-13,508.0
Casos nuevos totales,2020-05-13,2660.0
Casos activos por FD,2020-05-13,19170.0
Casos activos por FIS,2020-05-13,
Casos recuperados por FIS,2020-05-13,
Casos recuperados por FD,2020-05-13,14865.0
Casos confirmados recuperados,2020-05-13,
Casos activos confirmados,2020-05-13,
Casos probables acumulados,2020-05-13,
Casos activos probables,2020-05-13,
Casos nuevos sin notificar,2020-05-13,
Casos nuevos con sintomas,2020-05-14,2301.0
Casos totales,2020-05-14,37040.0
Casos recuperados,2020-05-14,15655.0
Fallecidos,2020-05-14,368.0
Casos activos,2020-05-14,21017.0
Casos nuevos sin sintomas,2020-05-14,358.0
Casos nuevos totales,2020-05-14,2659.0
Casos activos por FD,2020-05-14,21017.0
Casos activos por FIS,2020-05-14,
Casos recuperados por FIS,2020-05-14,
Casos recuperados por FD,2020-05-14,15655.0
Casos confirmados recuperados,2020-05-14,
Casos activos confirmados,2020-05-14,
Casos probables acumulados,2020-05-14,
Casos activos probables,2020-05-14,
Casos nuevos sin notificar,2020-05-14,
Casos nuevos con sintomas,2020-05-15,2112.0
Casos totales,2020-05-15,39542.0
Casos recuperados,2020-05-15,16614.0
Fallecidos,2020-05-15,394.0
Casos activos,2020-05-15,22534.0
Casos nuevos sin sintomas,2020-05-15,390.0
Casos nuevos totales,2020-05-15,2502.0
Casos activos por FD,2020-05-15,22534.0
Casos activos por FIS,2020-05-15,
Casos recuperados por FIS,2020-05-15,
Casos recuperados por FD,2020-05-15,16614.0
Casos confirmados recuperados,2020-05-15,
Casos activos confirmados,2020-05-15,
Casos probables acumulados,2020-05-15,
Casos activos probables,2020-05-15,
Casos nuevos sin notificar,2020-05-15,
Casos nuevos con sintomas,2020-05-16,1573.0
Casos totales,2020-05-16,41428.0
Casos recuperados,2020-05-16,18014.0
Fallecidos,2020-05-16,421.0
Casos activos,2020-05-16,22993.0
Casos nuevos sin sintomas,2020-05-16,313.0
Casos nuevos totales,2020-05-16,1886.0
Casos activos por FD,2020-05-16,22993.0
Casos activos por FIS,2020-05-16,
Casos recuperados por FIS,2020-05-16,
Casos recuperados por FD,2020-05-16,18014.0
Casos confirmados recuperados,2020-05-16,
Casos activos confirmados,2020-05-16,
Casos probables acumulados,2020-05-16,
Casos activos probables,2020-05-16,
Casos nuevos sin notificar,2020-05-16,
Casos nuevos con sintomas,2020-05-17,2024.0
Casos totales,2020-05-17,43781.0
Casos recuperados,2020-05-17,19213.0
Fallecidos,2020-05-17,450.0
Casos activos,2020-05-17,24118.0
Casos nuevos sin sintomas,2020-05-17,329.0
Casos nuevos totales,2020-05-17,2353.0
Casos activos por FD,2020-05-17,24118.0
Casos activos por FIS,2020-05-17,
Casos recuperados por FIS,2020-05-17,
Casos recuperados por FD,2020-05-17,19213.0
Casos confirmados recuperados,2020-05-17,
Casos activos confirmados,2020-05-17,
Casos probables acumulados,2020-05-17,
Casos activos probables,2020-05-17,
Casos nuevos sin notificar,2020-05-17,
Casos nuevos con sintomas,2020-05-18,2018.0
Casos totales,2020-05-18,46059.0
Casos recuperados,2020-05-18,20165.0
Fallecidos,2020-05-18,478.0
Casos activos,2020-05-18,25416.0
Casos nuevos sin sintomas,2020-05-18,260.0
Casos nuevos totales,2020-05-18,2278.0
Casos activos por FD,2020-05-18,25416.0
Casos activos por FIS,2020-05-18,
Casos recuperados por FIS,2020-05-18,
Casos recuperados por FD,2020-05-18,20165.0
Casos confirmados recuperados,2020-05-18,
Casos activos confirmados,2020-05-18,
Casos probables acumulados,2020-05-18,
Casos activos probables,2020-05-18,
Casos nuevos sin notificar,2020-05-18,
Casos nuevos con sintomas,2020-05-19,3099.0
Casos totales,2020-05-19,49579.0
Casos recuperados,2020-05-19,21507.0
Fallecidos,2020-05-19,509.0
Casos activos,2020-05-19,27563.0
Casos nuevos sin sintomas,2020-05-19,421.0
Casos nuevos totales,2020-05-19,3520.0
Casos activos por FD,2020-05-19,27563.0
Casos activos por FIS,2020-05-19,
Casos recuperados por FIS,2020-05-19,
Casos recuperados por FD,2020-05-19,21507.0
Casos confirmados recuperados,2020-05-19,
Casos activos confirmados,2020-05-19,
Casos probables acumulados,2020-05-19,
Casos activos probables,2020-05-19,
Casos nuevos sin notificar,2020-05-19,
Casos nuevos con sintomas,2020-05-20,3647.0
Casos totales,2020-05-20,53617.0
Casos recuperados,2020-05-20,22504.0
Fallecidos,2020-05-20,544.0
Casos activos,2020-05-20,30569.0
Casos nuevos sin sintomas,2020-05-20,391.0
Casos nuevos totales,2020-05-20,4038.0
Casos activos por FD,2020-05-20,30569.0
Casos activos por FIS,2020-05-20,
Casos recuperados por FIS,2020-05-20,
Casos recuperados por FD,2020-05-20,22504.0
Casos confirmados recuperados,2020-05-20,
Casos activos confirmados,2020-05-20,
Casos probables acumulados,2020-05-20,
Casos activos probables,2020-05-20,
Casos nuevos sin notificar,2020-05-20,
Casos nuevos con sintomas,2020-05-21,3538.0
Casos totales,2020-05-21,57581.0
Casos recuperados,2020-05-21,23992.0
Fallecidos,2020-05-21,589.0
Casos activos,2020-05-21,33000.0
Casos nuevos sin sintomas,2020-05-21,426.0
Casos nuevos totales,2020-05-21,3964.0
Casos activos por FD,2020-05-21,33000.0
Casos activos por FIS,2020-05-21,
Casos recuperados por FIS,2020-05-21,
Casos recuperados por FD,2020-05-21,23992.0
Casos confirmados recuperados,2020-05-21,
Casos activos confirmados,2020-05-21,
Casos probables acumulados,2020-05-21,
Casos activos probables,2020-05-21,
Casos nuevos sin notificar,2020-05-21,
Casos nuevos con sintomas,2020-05-22,3863.0
Casos totales,2020-05-22,61857.0
Casos recuperados,2020-05-22,25342.0
Fallecidos,2020-05-22,630.0
Casos activos,2020-05-22,35885.0
Casos nuevos sin sintomas,2020-05-22,413.0
Casos nuevos totales,2020-05-22,4276.0
Casos activos por FD,2020-05-22,35885.0
Casos activos por FIS,2020-05-22,
Casos recuperados por FIS,2020-05-22,
Casos recuperados por FD,2020-05-22,25342.0
Casos confirmados recuperados,2020-05-22,
Casos activos confirmados,2020-05-22,
Casos probables acumulados,2020-05-22,
Casos activos probables,2020-05-22,
Casos nuevos sin notificar,2020-05-22,
Casos nuevos con sintomas,2020-05-23,3237.0
Casos totales,2020-05-23,65393.0
Casos recuperados,2020-05-23,26546.0
Fallecidos,2020-05-23,673.0
Casos activos,2020-05-23,38174.0
Casos nuevos sin sintomas,2020-05-23,299.0
Casos nuevos totales,2020-05-23,3536.0
Casos activos por FD,2020-05-23,38174.0
Casos activos por FIS,2020-05-23,
Casos recuperados por FIS,2020-05-23,
Casos recuperados por FD,2020-05-23,26546.0
Casos confirmados recuperados,2020-05-23,
Casos activos confirmados,2020-05-23,
Casos probables acumulados,2020-05-23,
Casos activos probables,2020-05-23,
Casos nuevos sin notificar,2020-05-23,
Casos nuevos con sintomas,2020-05-24,3343.0
Casos totales,2020-05-24,69102.0
Casos recuperados,2020-05-24,28148.0
Fallecidos,2020-05-24,718.0
Casos activos,2020-05-24,40236.0
Casos nuevos sin sintomas,2020-05-24,366.0
Casos nuevos totales,2020-05-24,3709.0
Casos activos por FD,2020-05-24,40236.0
Casos activos por FIS,2020-05-24,
Casos recuperados por FIS,2020-05-24,
Casos recuperados por FD,2020-05-24,28148.0
Casos confirmados recuperados,2020-05-24,
Casos activos confirmados,2020-05-24,
Casos probables acumulados,2020-05-24,
Casos activos probables,2020-05-24,
Casos nuevos sin notificar,2020-05-24,
Casos nuevos con sintomas,2020-05-25,4428.0
Casos totales,2020-05-25,73997.0
Casos recuperados,2020-05-25,29302.0
Fallecidos,2020-05-25,761.0
Casos activos,2020-05-25,43934.0
Casos nuevos sin sintomas,2020-05-25,467.0
Casos nuevos totales,2020-05-25,4895.0
Casos activos por FD,2020-05-25,43934.0
Casos activos por FIS,2020-05-25,
Casos recuperados por FIS,2020-05-25,
Casos recuperados por FD,2020-05-25,29302.0
Casos confirmados recuperados,2020-05-25,
Casos activos confirmados,2020-05-25,
Casos probables acumulados,2020-05-25,
Casos activos probables,2020-05-25,
Casos nuevos sin notificar,2020-05-25,
Casos nuevos con sintomas,2020-05-26,3618.0
Casos totales,2020-05-26,77961.0
Casos recuperados,2020-05-26,30915.0
Fallecidos,2020-05-26,806.0
Casos activos,2020-05-26,46240.0
Casos nuevos sin sintomas,2020-05-26,346.0
Casos nuevos totales,2020-05-26,3964.0
Casos activos por FD,2020-05-26,46240.0
Casos activos por FIS,2020-05-26,
Casos recuperados por FIS,2020-05-26,
Casos recuperados por FD,2020-05-26,30915.0
Casos confirmados recuperados,2020-05-26,
Casos activos confirmados,2020-05-26,
Casos probables acumulados,2020-05-26,
Casos activos probables,2020-05-26,
Casos nuevos sin notificar,2020-05-26,
Casos nuevos con sintomas,2020-05-27,3956.0
Casos totales,2020-05-27,82289.0
Casos recuperados,2020-05-27,33540.0
Fallecidos,2020-05-27,841.0
Casos activos,2020-05-27,47908.0
Casos nuevos sin sintomas,2020-05-27,372.0
Casos nuevos totales,2020-05-27,4328.0
Casos activos por FD,2020-05-27,47908.0
Casos activos por FIS,2020-05-27,
Casos recuperados por FIS,2020-05-27,
Casos recuperados por FD,2020-05-27,33540.0
Casos confirmados recuperados,2020-05-27,
Casos activos confirmados,2020-05-27,
Casos probables acumulados,2020-05-27,
Casos activos probables,2020-05-27,
Casos nuevos sin notificar,2020-05-27,
Casos nuevos con sintomas,2020-05-28,4128.0
Casos totales,2020-05-28,86943.0
Casos recuperados,2020-05-28,36115.0
Fallecidos,2020-05-28,890.0
Casos activos,2020-05-28,49938.0
Casos nuevos sin sintomas,2020-05-28,526.0
Casos nuevos totales,2020-05-28,4654.0
Casos activos por FD,2020-05-28,49938.0
Casos activos por FIS,2020-05-28,
Casos recuperados por FIS,2020-05-28,
Casos recuperados por FD,2020-05-28,36115.0
Casos confirmados recuperados,2020-05-28,
Casos activos confirmados,2020-05-28,
Casos probables acumulados,2020-05-28,
Casos activos probables,2020-05-28,
Casos nuevos sin notificar,2020-05-28,
Casos nuevos con sintomas,2020-05-29,3355.0
Casos totales,2020-05-29,90638.0
Casos recuperados,2020-05-29,38598.0
Fallecidos,2020-05-29,944.0
Casos activos,2020-05-29,51096.0
Casos nuevos sin sintomas,2020-05-29,340.0
