Comorbilidad,Hospitalización,Fecha,Casos confirmados
Inmunocomprometido,NO,2020-08-28,1793.0
Enfermedad hepática crónica,NO,2020-08-28,328.0
Hipertensión arterial,SI,2020-08-28,12370.0
Diabetes,SI,2020-08-28,7704.0
Obesidad,SI,2020-08-28,2663.0
Asma,SI,2020-08-28,1278.0
Enfermedad cardiovascular,SI,2020-08-28,1538.0
Enfermedad pulmonar crónica,SI,2020-08-28,1454.0
Cardiopatía crónica,SI,2020-08-28,1518.0
Enfermedad renal crónica,SI,2020-08-28,1669.0
Enfermedad neurológica crónica,SI,2020-08-28,975.0
Inmunocomprometido,SI,2020-08-28,933.0
Enfermedad hepática crónica,SI,2020-08-28,409.0
